time_step,computation_time,tracking_error,Y_trajectory,status_step,velocity_result
0,0.1296095848083496,[-0.92 -0.01 -0.59],0.11086155074223825,Maximum_Iterations_Exceeded,0.0
1,0.0689706802368164,[-0.92 -0.01 -0.59],0.1157403824170674,Maximum_Iterations_Exceeded,5.979417487662995
2,0.06461834907531738,[-0.91 -0.02 -0.58],0.1234462874513,Maximum_Iterations_Exceeded,7.673331701505584
3,0.06920838356018066,[-0.91 -0.02 -0.56],0.1338038556186417,Maximum_Iterations_Exceeded,7.801615362987056
4,0.06752538681030273,[-0.9  -0.03 -0.54],0.14660799792069554,Maximum_Iterations_Exceeded,7.952005572799209
5,0.06338715553283691,[-0.89 -0.05 -0.52],0.16169506308850143,Maximum_Iterations_Exceeded,8.119403473829674
6,0.06739187240600586,[-0.87 -0.06 -0.49],0.17873902252591203,Maximum_Iterations_Exceeded,8.586794760946978
7,0.06489086151123047,[-0.85 -0.08 -0.46],0.19728794145115391,Maximum_Iterations_Exceeded,8.709344906758016
8,0.0694434642791748,[-0.83 -0.1  -0.43],0.21694322404392025,Maximum_Iterations_Exceeded,9.101601670515915
9,0.0650780200958252,[-0.8  -0.12 -0.39],0.23740012868910293,Maximum_Iterations_Exceeded,8.825958393147882
10,0.06845545768737793,[-0.76 -0.14 -0.35],0.25832793307953755,Maximum_Iterations_Exceeded,8.492267500402418
11,0.061385393142700195,[-0.73 -0.16 -0.32],0.2789753833541834,Maximum_Iterations_Exceeded,8.723326213184817
12,0.06870770454406738,[-0.69 -0.18 -0.28],0.29816335961063534,Maximum_Iterations_Exceeded,9.208980408567825
13,0.06470870971679688,[-0.65 -0.2  -0.24],0.3147883068566852,Maximum_Iterations_Exceeded,9.488862053815211
14,0.08784842491149902,[-0.6  -0.21 -0.2 ],0.3278248131378296,Maximum_Iterations_Exceeded,9.650327155706405
15,0.0604248046875,[-0.55 -0.23 -0.16],0.33627338738207324,Maximum_Iterations_Exceeded,9.633244003336522
16,0.07462406158447266,[-0.49 -0.24 -0.13],0.3394466128632879,Maximum_Iterations_Exceeded,9.507814018022145
17,0.06156492233276367,[-0.44 -0.24 -0.1 ],0.33692530508484997,Maximum_Iterations_Exceeded,9.344525569238005
18,0.0648660659790039,[-0.39 -0.24 -0.08],0.3287719484433388,Maximum_Iterations_Exceeded,9.335693526043663
19,0.06358933448791504,[-0.33 -0.23 -0.05],0.3147464259313978,Maximum_Iterations_Exceeded,9.235608766130122
20,0.07892417907714844,[-0.28 -0.21 -0.03],0.2952762685287864,Maximum_Iterations_Exceeded,9.148638832363467
21,0.06000351905822754,[-0.24 -0.2  -0.02],0.2723283166607335,Maximum_Iterations_Exceeded,9.193569418049949
22,0.06595706939697266,[-0.19 -0.17 -0.  ],0.2477209347739932,Maximum_Iterations_Exceeded,9.224746948200089
23,0.05541062355041504,[-0.15 -0.15  0.01],0.2229357908905868,Maximum_Iterations_Exceeded,9.448545827296217
24,0.06431818008422852,[-0.12 -0.12  0.02],0.19858209950617206,Maximum_Iterations_Exceeded,9.777066415256899
25,0.054078102111816406,[-0.09 -0.1   0.02],0.17479363099177012,Maximum_Iterations_Exceeded,9.571338921553611
26,0.06389522552490234,[-0.07 -0.07  0.03],0.151923381350215,Maximum_Iterations_Exceeded,9.042552162955573
27,0.06174755096435547,[-0.05 -0.05  0.03],0.13039506630773107,Maximum_Iterations_Exceeded,8.4898756198146
28,0.06692028045654297,[-0.04 -0.03  0.03],0.1105320650314138,Maximum_Iterations_Exceeded,7.972026375890922
29,0.056999921798706055,[-0.03 -0.01  0.03],0.09255562838768251,Maximum_Iterations_Exceeded,7.5992313326384435
30,0.0803530216217041,[-0.02  0.01  0.02],0.07660999820410468,Maximum_Iterations_Exceeded,7.367782312038944
31,0.05705833435058594,[-0.01  0.02  0.02],0.06276987690812547,Maximum_Iterations_Exceeded,7.25412367377745
32,0.0639798641204834,[-0.01  0.04  0.02],0.05105249452295708,Maximum_Iterations_Exceeded,7.193806147410961
33,0.05714273452758789,[-0.    0.05  0.01],0.04139976428963834,Maximum_Iterations_Exceeded,7.176555526805759
34,0.06071066856384277,[0.   0.06 0.01],0.03370527332528343,Maximum_Iterations_Exceeded,7.123502574293844
35,0.05608344078063965,[0.   0.07 0.01],0.027855947570729227,Maximum_Iterations_Exceeded,7.032896873154947
