time_step,computation_time,tracking_error,Y_trajectory,X_trajectory,status_step,velocity_result
0,0.40219640731811523,[-0.92 -0.01 -0.59],0.10915,0.817250000000927,Maximum_Iterations_Exceeded,0.0
1,0.2712066173553467,[-0.92 -0.01 -0.59],0.11089411480528509,0.816324879708486,Maximum_Iterations_Exceeded,5.6016745715762335
2,-1.7078559398651123,[-0.91 -0.02 -0.58],0.1160437929512617,0.8131565223747034,Maximum_Iterations_Exceeded,8.400756905956626
3,0.2384476661682129,[-0.91 -0.02 -0.56],0.12437559934566117,0.807200041145384,Maximum_Iterations_Exceeded,8.744966385780838
4,0.23876452445983887,[-0.9  -0.04 -0.54],0.13559326847602085,0.7982375187918578,Maximum_Iterations_Exceeded,8.955024719607787
5,0.2347726821899414,[-0.89 -0.05 -0.52],0.1493474098371767,0.785945066441115,Maximum_Iterations_Exceeded,9.022393621540134
6,0.244537353515625,[-0.87 -0.07 -0.49],0.16528547514885295,0.7699819868172559,Maximum_Iterations_Exceeded,9.058098384841934
7,0.2526998519897461,[-0.85 -0.08 -0.46],0.18304880981261848,0.7500005822751538,Maximum_Iterations_Exceeded,9.079990453360805
8,0.26482534408569336,[-0.83 -0.1  -0.43],0.2022433697595995,0.7257706500219351,Maximum_Iterations_Exceeded,9.016428356802594
9,0.2663724422454834,[-0.8  -0.12 -0.39],0.2225688288252439,0.6978498440091966,Maximum_Iterations_Exceeded,8.453569368538046
10,0.29480409622192383,[-0.77 -0.14 -0.35],0.24379715075595093,0.6670697836098736,Maximum_Iterations_Exceeded,8.15269487819154
11,0.24108576774597168,[-0.73 -0.17 -0.31],0.2654441449195469,0.6330480301762417,Maximum_Iterations_Exceeded,8.41085048499752
12,0.25603485107421875,[-0.69 -0.19 -0.27],0.2866427529366676,0.5944179446449813,Maximum_Iterations_Exceeded,8.853724229526255
13,0.25877809524536133,[-0.65 -0.21 -0.23],0.3060974272624387,0.5493994641610911,Maximum_Iterations_Exceeded,9.15832030813731
14,0.253643274307251,[-0.6  -0.22 -0.19],0.32239341626529205,0.49745000364885994,Maximum_Iterations_Exceeded,9.415010121345407
15,0.2346804141998291,[-0.54 -0.23 -0.15],0.33421629956882376,0.44166046857593433,Maximum_Iterations_Exceeded,9.358502460400738
16,0.226287841796875,[-0.49 -0.24 -0.12],0.34081450703095867,0.385679834833247,Maximum_Iterations_Exceeded,9.249059481551672
17,0.23724079132080078,[-0.43 -0.24 -0.09],0.3419519707667439,0.3306565250236123,Maximum_Iterations_Exceeded,9.123117111587698
18,0.24336647987365723,[-0.38 -0.24 -0.07],0.33736257709692924,0.27654690353532035,Maximum_Iterations_Exceeded,9.108204478890233
19,0.21786189079284668,[-0.32 -0.23 -0.05],0.32764344066487394,0.22447241563908174,Maximum_Iterations_Exceeded,9.003312995555264
20,0.21965980529785156,[-0.28 -0.21 -0.03],0.3137539672618223,0.1756534699765282,Maximum_Iterations_Exceeded,8.619505766725645
21,0.2353382110595703,[-0.23 -0.2  -0.01],0.2965056228305085,0.130727345098272,Maximum_Iterations_Exceeded,8.443575397397261
22,0.25079917907714844,[-0.19 -0.18  0.  ],0.2769569640308558,0.09045361655858017,Maximum_Iterations_Exceeded,8.196685939956483
23,0.2333996295928955,[-0.16 -0.16  0.01],0.25587628530329964,0.0550938569974918,Maximum_Iterations_Exceeded,7.966617776844245
24,0.24790525436401367,[-0.12 -0.13  0.02],0.23413484327932949,0.024849631658418303,Maximum_Iterations_Exceeded,7.709569583216166
25,0.23685979843139648,[-0.1  -0.11  0.02],0.21251090073182355,-0.00034226268500508333,Maximum_Iterations_Exceeded,7.4090079047004025
26,0.2354903221130371,[-0.08 -0.09  0.02],0.19167864565756504,-0.02077221584407326,Maximum_Iterations_Exceeded,7.062562533270351
27,0.24181270599365234,[-0.06 -0.07  0.03],0.17217884108451853,-0.036918429765253065,Maximum_Iterations_Exceeded,6.692901831223837
28,0.2334153652191162,[-0.05 -0.05  0.03],0.15441612201661725,-0.04939134828986199,Maximum_Iterations_Exceeded,6.342037919438917
29,0.2413182258605957,[-0.04 -0.04  0.03],0.13866889327393317,-0.058875403481723015,Maximum_Iterations_Exceeded,6.04407947888808
30,0.23876380920410156,[-0.03 -0.03  0.03],0.12509716085254102,-0.06603764708054502,Maximum_Iterations_Exceeded,5.786511690651526
31,0.23107147216796875,[-0.03 -0.01  0.02],0.1137532850301507,-0.07142668903524213,Maximum_Iterations_Exceeded,5.531465887610213
32,0.2480792999267578,[-0.02 -0.    0.02],0.104605439254193,-0.07543765362030452,Maximum_Iterations_Exceeded,5.252395562686994
33,0.24356794357299805,[-0.02  0.    0.02],0.09756456720873789,-0.07834018112799088,Maximum_Iterations_Exceeded,4.9397065226488355
34,0.2442150115966797,[-0.02  0.01  0.02],0.09250271564341486,-0.08031852874210406,Maximum_Iterations_Exceeded,4.595088209101609
35,0.23914504051208496,[-0.02  0.01  0.02],0.08926027459122471,-0.08150478584533914,Maximum_Iterations_Exceeded,4.227682608457421
36,0.24622535705566406,[-0.02  0.01  0.02],0.08764089339806054,-0.08200798491565892,Maximum_Iterations_Exceeded,3.8500218482938444
37,0.2268204689025879,[-0.02  0.01  0.02],0.0873912397765362,-0.08194129231713544,Maximum_Iterations_Exceeded,3.4743506556128265
38,0.2481861114501953,[-0.02  0.01  0.01],0.08817120287711258,-0.08144708160981128,Maximum_Iterations_Exceeded,3.1102248415737273
39,0.23525023460388184,[-0.02  0.01  0.01],0.08955378912797819,-0.08070480288987264,Maximum_Iterations_Exceeded,2.765238401360703
40,0.2541370391845703,[-0.02  0.01  0.01],0.09111336719932749,-0.07989681081713958,Maximum_Iterations_Exceeded,2.448411191088846
