time_step,computation_time,tracking_error,tracking_error_mean,Y_trajectory,X_trajectory,status_step,velocity_result,dq_history
0,0.3401002883911133,[-0.92 -0.01 -0.59],1.0931021160383227,0.10915,0.817250000000927,Maximum_Iterations_Exceeded,0.0,[0. 0. 0. 0. 0. 0.]
1,0.22919011116027832,[-0.92 -0.01 -0.59],1.0900561480883484,0.11089411480528509,0.816324879708486,Maximum_Iterations_Exceeded,5.6016745715762335,[ 0.43 -0.87  3.96 -1.74  1.52 -3.07]
2,0.22273731231689453,[-0.91 -0.02 -0.58],1.0811776820906558,0.1160437929512617,0.8131565223747034,Maximum_Iterations_Exceeded,8.400756905956626,[ 0.84 -1.15  6.22 -2.53  2.88 -3.89]
3,0.22942304611206055,[-0.91 -0.02 -0.56],1.0673741722141656,0.12437559934566117,0.807200041145384,Maximum_Iterations_Exceeded,8.744966385780838,[ 1.23 -0.66  6.22 -1.93  3.88 -4.12]
4,0.22756075859069824,[-0.9  -0.04 -0.54],1.0493451221283328,0.13559326847602085,0.7982375187918578,Maximum_Iterations_Exceeded,8.955024719607787,[ 1.61 -0.15  6.21 -1.37  4.5  -4.11]
5,0.23044919967651367,[-0.89 -0.05 -0.52],1.0270617645464915,0.1493474098371767,0.785945066441115,Maximum_Iterations_Exceeded,9.022393621540134,[ 1.97  0.37  6.19 -0.88  4.77 -3.94]
6,0.22744488716125488,[-0.87 -0.07 -0.49],1.0004949715496188,0.16528547514885295,0.7699819868172559,Maximum_Iterations_Exceeded,9.058098384841934,[ 2.33  0.91  6.17 -0.58  4.89 -3.67]
7,0.22948408126831055,[-0.85 -0.08 -0.46],0.9696185663519851,0.18304880981261848,0.7500005822751538,Maximum_Iterations_Exceeded,9.079990453360805,[ 2.7   1.47  6.13 -0.49  4.91 -3.34]
8,0.22249555587768555,[-0.83 -0.1  -0.43],0.9345370846934662,0.2022433697595995,0.7257706500219351,Maximum_Iterations_Exceeded,9.016428356802594,[ 3.08  2.14  5.89 -0.65  4.83 -2.97]
9,0.21524620056152344,[-0.8  -0.12 -0.39],0.8962400120642215,0.2225688288252439,0.6978498440091966,Maximum_Iterations_Exceeded,8.453569368538046,[ 3.48  3.22  4.49 -0.52  4.68 -2.57]
10,0.22140908241271973,[-0.77 -0.14 -0.35],0.8560182503793239,0.24379715075595093,0.6670697836098736,Maximum_Iterations_Exceeded,8.15269487819154,[ 3.91  4.42  2.66 -0.03  4.47 -2.13]
11,0.2078702449798584,[-0.73 -0.17 -0.31],0.8139043280353845,0.2654441449195469,0.6330480301762417,Maximum_Iterations_Exceeded,8.41085048499752,[ 4.35  5.4   1.32  0.58  4.21 -1.69]
12,0.22681450843811035,[-0.69 -0.19 -0.27],0.7689197230679232,0.2866427529366676,0.5944179446449813,Maximum_Iterations_Exceeded,8.853724229526255,[ 4.82  6.06  0.76  1.08  3.88 -1.26]
13,0.2259688377380371,[-0.65 -0.21 -0.23],0.7195754113605972,0.3060974272624387,0.5493994641610911,Maximum_Iterations_Exceeded,9.15832030813731,[ 5.34  6.28  1.33  1.11  3.49 -0.88]
14,0.2355022430419922,[-0.6  -0.22 -0.19],0.6656205757339827,0.32239341626529205,0.49745000364885994,Maximum_Iterations_Exceeded,9.415010121345407,[ 5.87  6.28  1.89  1.34  3.   -0.53]
15,0.22034621238708496,[-0.54 -0.23 -0.15],0.6100688703242091,0.33421629956882376,0.44166046857593433,Maximum_Iterations_Exceeded,9.358502460400738,[ 6.05  6.26  1.41  2.13  2.3  -0.22]
16,0.24045109748840332,[-0.49 -0.24 -0.12],0.5557374671663299,0.34081450703095867,0.385679834833247,Maximum_Iterations_Exceeded,9.249059481551672,[6.07 6.24 0.83 2.57 1.54 0.02]
17,0.2126448154449463,[-0.43 -0.24 -0.09],0.5027731210235177,0.3419519707667439,0.3306565250236123,Maximum_Iterations_Exceeded,9.123117111587698,[6.05 6.23 0.47 2.61 0.81 0.2 ]
18,0.21514344215393066,[-0.38 -0.24 -0.07],0.4502627949252314,0.33736257709692924,0.27654690353532035,Maximum_Iterations_Exceeded,9.108204478890233,[6.06 6.29 0.31 2.53 0.26 0.28]
19,0.22144436836242676,[-0.32 -0.23 -0.05],0.39891316726257675,0.32764344066487394,0.22447241563908174,Maximum_Iterations_Exceeded,9.003312995555264,[ 6.03  6.17 -0.17  2.49 -0.41  0.41]
20,0.21935606002807617,[-0.28 -0.21 -0.03],0.34976794455730686,0.3137539672618223,0.1756534699765282,Maximum_Iterations_Exceeded,8.619505766725645,[ 6.02  5.68  0.16  2.24 -0.74  0.42]
21,0.23000121116638184,[-0.23 -0.2  -0.01],0.3032344590197405,0.2965056228305085,0.130727345098272,Maximum_Iterations_Exceeded,8.443575397397261,[ 5.96  5.33 -0.07  2.45 -1.02  0.46]
