time_step,computation_time,tracking_error,tracking_error_mean,Y_trajectory,X_trajectory,status_step,velocity_result,dq_history
0,0.3391151428222656,[-0.92 -0.01 -0.59],1.0931021160383227,0.10915,0.817250000000927,Maximum_Iterations_Exceeded,0.0,[0. 0. 0. 0. 0. 0.]
1,0.21987056732177734,[-0.92 -0.01 -0.59],1.0900489558986326,0.11089407421939323,0.8163271888604146,Maximum_Iterations_Exceeded,5.594269301482212,[ 0.43 -0.88  3.99 -1.77  1.52 -3.  ]
2,0.2245028018951416,[-0.91 -0.02 -0.58],1.0811609775107234,0.11604423084795555,0.8131592870735703,Maximum_Iterations_Exceeded,8.385709290694495,[ 0.84 -1.15  6.22 -2.54  2.89 -3.86]
3,0.2283937931060791,[-0.91 -0.02 -0.56],1.0673546166495989,0.1243743088927625,0.8072013063480373,Maximum_Iterations_Exceeded,8.728531625212616,[ 1.23 -0.66  6.22 -1.93  3.87 -4.09]
4,0.2368156909942627,[-0.9  -0.04 -0.54],1.049322762100731,0.13558559429345443,0.7982379205762237,Maximum_Iterations_Exceeded,8.937605977751447,[ 1.61 -0.15  6.21 -1.37  4.48 -4.09]
5,0.21437788009643555,[-0.89 -0.05 -0.52],1.027037228127057,0.1493335530072021,0.7859469091689665,Maximum_Iterations_Exceeded,9.011449133982705,[ 1.97  0.37  6.19 -0.89  4.76 -3.92]
6,0.22557616233825684,[-0.87 -0.07 -0.49],1.000468444965899,0.16526867094589487,0.7699867361044969,Maximum_Iterations_Exceeded,9.051574954107148,[ 2.33  0.91  6.17 -0.59  4.89 -3.66]
7,0.21634411811828613,[-0.85 -0.08 -0.46],0.9695901775644485,0.18303121743226497,0.7500084203449888,Maximum_Iterations_Exceeded,9.075848812811337,[ 2.7   1.47  6.13 -0.5   4.91 -3.33]
8,0.23109841346740723,[-0.83 -0.1  -0.43],0.9345131937442552,0.20222702026875092,0.7257723721019933,Maximum_Iterations_Exceeded,8.998554928215537,[ 3.08  2.14  5.87 -0.59  4.84 -2.96]
9,0.24817967414855957,[-0.8  -0.12 -0.39],0.8962431001894302,0.22255467255066222,0.6978403679772874,Maximum_Iterations_Exceeded,8.428250209085602,[ 3.48  3.23  4.45 -0.4   4.69 -2.55]
10,0.2380974292755127,[-0.77 -0.14 -0.35],0.8560836415642954,0.24378814482672473,0.6670807611162295,Maximum_Iterations_Exceeded,8.145541326828393,[ 3.91  4.44  2.6   0.07  4.49 -2.12]
11,0.23197269439697266,[-0.73 -0.17 -0.31],0.8140574709007954,0.26544746571927835,0.6331285543846963,Maximum_Iterations_Exceeded,8.418411592772848,[ 4.35  5.42  1.27  0.62  4.22 -1.68]
12,0.20971083641052246,[-0.69 -0.19 -0.27],0.7691407605963652,0.2866572123865754,0.5945679939293114,Maximum_Iterations_Exceeded,8.856747549950883,[ 4.82  6.07  0.74  1.1   3.89 -1.26]
13,0.23321866989135742,[-0.65 -0.21 -0.23],0.719829140913076,0.30611605689953103,0.5495908760502419,Maximum_Iterations_Exceeded,9.156628259576102,[ 5.33  6.28  1.33  1.11  3.49 -0.88]
14,0.2206430435180664,[-0.6  -0.22 -0.19],0.6658236755014265,0.32239401639555654,0.4976186413711746,Maximum_Iterations_Exceeded,9.41566484571147,[ 5.87  6.28  1.92  1.31  3.   -0.53]
15,0.21425437927246094,[-0.54 -0.23 -0.15],0.6101067828214768,0.33416177883565834,0.4417075557011555,Maximum_Iterations_Exceeded,9.35685495616601,[ 6.05  6.26  1.47  2.09  2.29 -0.22]
16,0.21927237510681152,[-0.49 -0.24 -0.12],0.5556070750541612,0.3406953699295038,0.38559444898522655,Maximum_Iterations_Exceeded,9.242003493134405,[6.07 6.24 0.87 2.54 1.53 0.02]
17,0.22911381721496582,[-0.43 -0.24 -0.09],0.5025458361339739,0.34178664390443136,0.3304966110278822,Maximum_Iterations_Exceeded,9.11478344435152,[6.06 6.23 0.49 2.58 0.8  0.2 ]
18,0.21110081672668457,[-0.38 -0.24 -0.07],0.44999454600760364,0.337170938412334,0.2763601153115989,Maximum_Iterations_Exceeded,9.100141690325001,[6.06 6.29 0.32 2.5  0.25 0.27]
19,0.22363829612731934,[-0.32 -0.23 -0.04],0.3986407880906695,0.3274418512238508,0.2242886770623082,Maximum_Iterations_Exceeded,8.993689887974954,[ 6.03  6.17 -0.16  2.47 -0.42  0.41]
20,0.21354961395263672,[-0.28 -0.21 -0.03],0.3495109598840803,0.3135543040630179,0.17548757774077167,Maximum_Iterations_Exceeded,8.61363051215823,[ 6.02  5.68  0.16  2.22 -0.75  0.41]
21,0.21057868003845215,[-0.23 -0.2  -0.01],0.30299717287970745,0.29631188102974026,0.13058264639648445,Maximum_Iterations_Exceeded,8.438027347864166,[ 5.96  5.33 -0.06  2.43 -1.04  0.45]
22,0.21982073783874512,[-0.19 -0.18  0.  ],0.25976757563270586,0.27677249442837704,0.09033066606930679,Maximum_Iterations_Exceeded,8.191970096507976,[ 5.85  4.87 -0.03  2.7  -1.28  0.49]
23,0.22189712524414062,[-0.15 -0.16  0.01],0.2199874057491677,0.25570417492579917,0.054992367882309746,Maximum_Iterations_Exceeded,7.962185361368952,[ 5.62  4.45 -0.07  3.09 -1.48  0.54]
24,0.20964550971984863,[-0.12 -0.13  0.02],0.1839346710929994,0.23397717609425606,0.02476812193999256,Maximum_Iterations_Exceeded,7.705341646990653,[ 5.25  4.06 -0.16  3.51 -1.63  0.58]
25,0.20783066749572754,[-0.1  -0.11  0.02],0.15175826972739598,0.21236946827837627,-0.00040577185428501,Maximum_Iterations_Exceeded,7.405024967609182,[ 4.72  3.72 -0.27  3.91 -1.72  0.63]
26,0.23592758178710938,[-0.08 -0.09  0.02],0.12351773627288992,0.1915550332422894,-0.020820060382360506,Maximum_Iterations_Exceeded,7.058946800480516,[ 4.04  3.42 -0.38  4.26 -1.75  0.69]
27,0.21639084815979004,[-0.06 -0.07  0.03],0.09919801673340312,0.1720744287420672,-0.03695304946295492,Maximum_Iterations_Exceeded,6.689750550558943,[ 3.24  3.16 -0.49  4.53 -1.72  0.75]
28,0.2084488868713379,[-0.05 -0.05  0.03],0.07874093433849429,0.1543319790308459,-0.04941509126455261,Maximum_Iterations_Exceeded,6.339370841760556,[ 2.4   2.92 -0.57  4.72 -1.65  0.8 ]
29,0.22116947174072266,[-0.04 -0.04  0.03],0.062070310160238645,0.1386056718175268,-0.05889030983750031,Maximum_Iterations_Exceeded,6.041904947313412,[ 1.62  2.68 -0.62  4.81 -1.57  0.86]
30,0.21280884742736816,[-0.03 -0.03  0.03],0.04910787687108147,0.1250550607221813,-0.06604522417861565,Maximum_Iterations_Exceeded,5.784652679419336,[ 1.    2.42 -0.64  4.81 -1.49  0.9 ]
31,0.2153644561767578,[-0.03 -0.01  0.02],0.03975014144077039,0.11373200807957103,-0.07142783405542691,Maximum_Iterations_Exceeded,5.529746499033614,[ 0.54  2.15 -0.64  4.73 -1.42  0.94]
32,0.2180039882659912,[-0.02 -0.    0.02],0.03373249314229338,0.10460425013796311,-0.07543279754594891,Maximum_Iterations_Exceeded,5.250834526059939,[ 0.2   1.86 -0.62  4.57 -1.37  0.97]
33,0.2316575050354004,[-0.02  0.    0.02],0.030433986374057642,0.09758229650398625,-0.07832953516403744,Maximum_Iterations_Exceeded,4.93833204924675,[-0.03  1.56 -0.58  4.35 -1.32  0.98]
34,0.22430896759033203,[-0.02  0.01  0.02],0.028905617368198924,0.09253768574446891,-0.08030232339242396,Maximum_Iterations_Exceeded,4.594104393368425,[-0.18  1.26 -0.53  4.07 -1.29  0.99]
35,0.22725558280944824,[-0.02  0.01  0.02],0.028206252396041336,0.08931012558021167,-0.08148353173808781,Maximum_Iterations_Exceeded,4.227310990828352,[-0.27  0.97 -0.47  3.75 -1.26  0.99]
36,0.2579007148742676,[-0.02  0.01  0.02],0.02770052368327097,0.08770210704042833,-0.08198275545266247,Maximum_Iterations_Exceeded,3.85042159206994,[-0.31  0.7  -0.41  3.4  -1.23  0.99]
37,0.2252638339996338,[-0.02  0.01  0.02],0.027117135828195457,0.08745845984533457,-0.08191405069363529,Maximum_Iterations_Exceeded,3.475572693557536,[-0.32  0.46 -0.35  3.04 -1.21  0.98]
38,0.21892213821411133,[-0.02  0.01  0.01],0.02646152743995611,0.08823710584259534,-0.0814207558037505,Maximum_Iterations_Exceeded,3.1122355376579707,[-0.31  0.27 -0.29  2.66 -1.19  0.96]
39,0.21977639198303223,[-0.02  0.01  0.01],0.025870652652342313,0.08961100636939907,-0.08068249785644956,Maximum_Iterations_Exceeded,2.768098097634693,[-0.28  0.15 -0.24  2.29 -1.16  0.94]
40,0.21463990211486816,[-0.02  0.01  0.01],0.02545628614296247,0.09115774739151478,-0.0798803630787746,Maximum_Iterations_Exceeded,2.45211455270283,[-0.24  0.09 -0.18  1.94 -1.14  0.92]
41,0.23783540725708008,[-0.02  0.01  0.01],0.02522975664471938,0.09258079117875442,-0.07914421512896479,Maximum_Iterations_Exceeded,2.1726799308342684,[-0.21  0.06 -0.13  1.61 -1.12  0.9 ]
42,0.22319912910461426,[-0.02  0.01  0.01],0.025135681612300106,0.09374204697399602,-0.07853617534743486,Maximum_Iterations_Exceeded,1.9338482031116826,[-0.17  0.05 -0.09  1.32 -1.09  0.87]
43,0.2298288345336914,[-0.02  0.01  0.01],0.02511020988218052,0.09461439354932721,-0.07806935312080887,Maximum_Iterations_Exceeded,1.7351337875973991,[-0.13  0.05 -0.06  1.07 -1.07  0.84]
44,0.21720170974731445,[-0.02  0.    0.01],0.025108972140730202,0.09522785207336593,-0.07773069384110207,Maximum_Iterations_Exceeded,1.573026071810785,[-0.11  0.05 -0.03  0.85 -1.04  0.82]
45,0.2204577922821045,[-0.02  0.    0.01],0.025109504608406042,0.09563424555868566,-0.07749657776907813,Maximum_Iterations_Exceeded,1.4424565602201427,[-0.08  0.04 -0.02  0.66 -1.01  0.79]
46,0.2195892333984375,[-0.02  0.    0.01],0.025104279322770713,0.09588766799428927,-0.07734176351043717,Maximum_Iterations_Exceeded,1.337854959384026,[-0.06  0.04 -0.    0.49 -0.98  0.76]
47,0.26860880851745605,[-0.02  0.    0.01],0.025093380025788564,0.09603517935406042,-0.07724383275886575,Maximum_Iterations_Exceeded,1.2538258043999229,[-0.05  0.03  0.01  0.36 -0.95  0.73]
48,0.26186060905456543,[-0.02  0.    0.01],0.025079607999928893,0.09611358391207697,-0.0771848587519271,Maximum_Iterations_Exceeded,1.1855355081704613,[-0.03  0.02  0.01  0.24 -0.92  0.71]
49,0.2175157070159912,[-0.02  0.    0.01],0.025065961406756057,0.0961495149488916,-0.07715151439771063,Maximum_Iterations_Exceeded,1.128893230439462,[-0.02  0.01  0.01  0.15 -0.89  0.68]
50,0.21790409088134766,[-0.02  0.    0.01],0.02505466817574549,0.09616103912660648,-0.07713443275490484,Maximum_Iterations_Exceeded,1.0805929586103988,[-0.02  0.    0.02  0.07 -0.86  0.65]
51,0.22084617614746094,[-0.02  0.    0.01],0.02504702338729581,0.09615970680564484,-0.07712732225283354,Maximum_Iterations_Exceeded,1.0380692187949436,[-0.01 -0.01  0.02  0.01 -0.83  0.63]
52,0.2227945327758789,[-0.02  0.    0.01],0.02504355115632469,0.09615247665502569,-0.07712611122006105,Maximum_Iterations_Exceeded,0.999405998007599,[-0.   -0.01  0.02 -0.04 -0.8   0.6 ]
53,0.22226858139038086,[-0.02  0.    0.01],0.025044242517401137,0.09614327314787627,-0.07712824260651815,Maximum_Iterations_Exceeded,0.9632271297956758,[-0.   -0.02  0.02 -0.09 -0.77  0.58]
54,0.22330236434936523,[-0.02  0.    0.01],0.025048765871125575,0.09613412983558568,-0.07713214770206499,Maximum_Iterations_Exceeded,0.9285865088503631,[ 0.   -0.02  0.02 -0.12 -0.74  0.55]
55,0.2103726863861084,[-0.02  0.    0.01],0.02505662148986594,0.09612596843138518,-0.07713688066969485,Maximum_Iterations_Exceeded,0.8948685220064418,[ 0.   -0.02  0.02 -0.14 -0.71  0.53]
56,0.20967745780944824,[-0.02  0.    0.01],0.02506724330773447,0.09611909765321436,-0.07714187843420928,Maximum_Iterations_Exceeded,0.8617033225031586,[ 0.   -0.03  0.02 -0.16 -0.68  0.51]
57,0.22633624076843262,[-0.02  0.    0.01],0.025080060818494666,0.0961135151113989,-0.07714680963117136,Maximum_Iterations_Exceeded,0.8288978994646133,[ 0.   -0.03  0.02 -0.17 -0.65  0.48]
58,0.21686983108520508,[-0.02  0.    0.01],0.02509453402179457,0.09610908010139427,-0.07715148265784086,Maximum_Iterations_Exceeded,0.7963818623636748,[ 0.   -0.03  0.02 -0.17 -0.62  0.46]
59,0.22822093963623047,[-0.02  0.    0.01],0.02511017142475916,0.09610560657085462,-0.07715579092017735,Maximum_Iterations_Exceeded,0.7641659483595772,[ 0.   -0.03  0.02 -0.18 -0.6   0.44]
60,0.21410465240478516,[-0.02  0.    0.01],0.02512653790807575,0.09610290925832127,-0.07715968052824582,Maximum_Iterations_Exceeded,0.7323110221222221,[ 0.   -0.03  0.02 -0.17 -0.57  0.42]
61,0.21420598030090332,[-0.02  0.    0.01],0.02514325673824594,0.09610082376017084,-0.07716313111070278,Maximum_Iterations_Exceeded,0.7009054545088504,[ 0.   -0.03  0.02 -0.17 -0.55  0.4 ]
62,0.2173144817352295,[-0.02  0.    0.01],0.02516000827945766,0.09609921291099757,-0.07716614413344455,Maximum_Iterations_Exceeded,0.6700490381559253,[ 0.   -0.03  0.02 -0.16 -0.52  0.38]
63,0.21672987937927246,[-0.02  0.    0.01],0.025176526878728477,0.09609796652056356,-0.0771687354786725,Maximum_Iterations_Exceeded,0.6398419118387413,[ 0.   -0.03  0.02 -0.16 -0.5   0.37]
64,0.2480630874633789,[-0.02  0.    0.01],0.025192596765668564,0.09609699828436247,-0.07717093047180423,Maximum_Iterations_Exceeded,0.6103772645949149,[ 0.   -0.02  0.02 -0.15 -0.48  0.35]
