time_step,computation_time,tracking_error,tracking_error_mean,Y_trajectory,X_trajectory,status_step,velocity_result,dq_history
0,0.1578350067138672,[-0.92 -0.01 -0.59],1.0931021160383227,0.10915,0.817250000000927,Maximum_Iterations_Exceeded,0.0,[0. 0. 0. 0. 0. 0.]
1,0.11582088470458984,[-0.92 -0.01 -0.59],1.0901128145354075,0.11089144774821849,0.8163246534959289,Maximum_Iterations_Exceeded,5.494635422137506,[ 0.43 -0.81  3.78 -1.61  1.52 -3.19]
2,0.11968708038330078,[-0.91 -0.02 -0.58],1.0812993703872968,0.11606124899514873,0.8131556657461759,Maximum_Iterations_Exceeded,8.653969750549688,[ 0.85 -1.15  6.19 -2.47  2.98 -4.42]
3,0.11021709442138672,[-0.91 -0.02 -0.56],1.067477587217286,0.12450070769444098,0.8071574030165324,Maximum_Iterations_Exceeded,9.233654202473419,[ 1.25 -0.67  6.23 -1.85  4.24 -4.8 ]
4,0.12127041816711426,[-0.9  -0.04 -0.54],1.0493996695336953,0.13589875711688335,0.798106121203556,Maximum_Iterations_Exceeded,9.469352972523076,[ 1.63 -0.16  6.21 -1.25  4.9  -4.78]
5,0.11474776268005371,[-0.89 -0.05 -0.52],1.0270498388428968,0.14982769041022073,0.7856768094244003,Maximum_Iterations_Exceeded,9.497380548417693,[ 1.99  0.35  6.2  -0.69  5.1  -4.6 ]
6,0.12377190589904785,[-0.87 -0.07 -0.49],1.000399896106231,0.16591889009435642,0.769517782476485,Maximum_Iterations_Exceeded,9.51145027181442,[ 2.35  0.89  6.17 -0.3   5.21 -4.34]
7,0.12380027770996094,[-0.85 -0.08 -0.46],0.9694227465291847,0.183830225204863,0.7492697709339452,Maximum_Iterations_Exceeded,9.53749187375481,[ 2.72  1.45  6.14 -0.11  5.25 -4.03]
8,0.11957502365112305,[-0.82 -0.1  -0.43],0.9342592560167369,0.20319124520672963,0.7247870612638274,Maximum_Iterations_Exceeded,9.49501468956728,[ 3.11  2.12  5.9  -0.41  5.23 -3.7 ]
9,0.13643860816955566,[-0.8  -0.12 -0.39],0.8960313548718232,0.22375363813810745,0.6968204896548329,Maximum_Iterations_Exceeded,8.95020082548806,[ 3.53  3.26  4.38 -0.46  5.16 -3.31]
10,0.1251087188720703,[-0.77 -0.15 -0.35],0.8559983800472892,0.2453003246431947,0.6660921997577212,Maximum_Iterations_Exceeded,8.66294629951216,[ 3.97  4.46  2.52  0.24  5.03 -2.77]
11,0.11407852172851562,[-0.73 -0.17 -0.31],0.8140283341770018,0.26729603200351976,0.6319523963782279,Maximum_Iterations_Exceeded,8.924294886207173,[ 4.42  5.4   1.22  1.13  4.83 -2.19]
12,0.12211990356445312,[-0.69 -0.19 -0.27],0.7691557960575043,0.28885578397454137,0.5931087296570776,Maximum_Iterations_Exceeded,9.321655627664208,[ 4.91  6.06  0.67  1.57  4.52 -1.66]
13,0.1324458122253418,[-0.65 -0.21 -0.23],0.719952467514467,0.3086693972399287,0.5479312035921796,Maximum_Iterations_Exceeded,9.542478605326002,[ 5.43  6.28  1.25  1.5   4.11 -1.2 ]
14,0.13218307495117188,[-0.6  -0.23 -0.19],0.6660935021494622,0.3251296808566073,0.4958915959551306,Maximum_Iterations_Exceeded,9.690948075279643,[ 5.92  6.28  1.88  1.58  3.58 -0.79]
